ticker,name,weight_percentage,raw_ticker
CF,CF INDUSTRIES HOLDINGS INC,0.02,CF
PNW,PINNACLE WEST CORP,0.02,PNW
FOXA,FOX CORP CLASS A,0.02,FOXA
LYB,LYONDELLBASELL INDUSTRIES NV CLASS,0.02,LYB
TKO,TKO GROUP HOLDINGS INC CLASS A,0.02,TKO
JKHY,JACK HENRY AND ASSOCIATES INC,0.02,JKHY
BLDR,BUILDERS FIRSTSOURCE INC,0.02,BLDR
HII,HUNTINGTON INGALLS INDUSTRIES INC,0.02,HII
AIZ,ASSURANT INC,0.02,AIZ
HST,HOST HOTELS & RESORTS REIT INC,0.02,HST
CPT,CAMDEN PROPERTY TRUST REIT,0.02,CPT
UDR,UDR REIT INC,0.02,UDR
EPAM,EPAM SYSTEMS INC,0.02,EPAM
SJM,JM SMUCKER,0.02,SJM
SWK,STANLEY BLACK & DECKER INC,0.02,SWK
IVZ,INVESCO LTD,0.02,IVZ
SWKS,SKYWORKS SOLUTIONS INC,0.02,SWKS
GL,GLOBE LIFE INC,0.02,GL
GNRC,GENERAC HOLDINGS INC,0.02,GNRC
ALGN,ALIGN TECHNOLOGY INC,0.02,ALGN
FDS,FACTSET RESEARCH SYSTEMS INC,0.02,FDS
DAY,DAYFORCE INC,0.02,DAY
NWSA,NEWS CORP CLASS A,0.02,NWSA
HAS,HASBRO INC,0.02,HAS
BAX,BAXTER INTERNATIONAL INC,0.02,BAX
BXP,BXP INC,0.02,BXP
HSIC,HENRY SCHEIN INC,0.02,HSIC
MRNA,MODERNA INC,0.02,MRNA
POOL,POOL CORP,0.02,POOL
AES,AES CORP,0.02,AES
TECH,BIO TECHNE CORP,0.02,TECH
MTCH,MATCH GROUP INC,0.02,MTCH
CRL,CHARLES RIVER LABORATORIES INTERNA,0.02,CRL
FOX,FOX CORP CLASS B,0.01,FOX
LKQ,LKQ CORP,0.01,LKQ
ARE,ALEXANDRIA REAL ESTATE EQUITIES RE,0.01,ARE
LW,LAMB WESTON HOLDINGS INC,0.01,LW
MOH,MOLINA HEALTHCARE INC,0.01,MOH
TAP,MOLSON COORS BREWING CLASS B,0.01,TAP
